station_id,road_name,suburb,cardinal_direction_name,classification_type,year,period,traffic_count
01003,Sydney Harbour Tunnel,Sydney,NORTH,UNCLASSIFIED,2006,ALL DAYS,40404
01003,Sydney Harbour Tunnel,Sydney,SOUTH,UNCLASSIFIED,2006,ALL DAYS,40353
01003,Sydney Harbour Tunnel,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2006,ALL DAYS,80757
01003,Sydney Harbour Tunnel,Sydney,NORTH,UNCLASSIFIED,2007,ALL DAYS,43879
01003,Sydney Harbour Tunnel,Sydney,SOUTH,UNCLASSIFIED,2007,ALL DAYS,40550
01003,Sydney Harbour Tunnel,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2007,ALL DAYS,84429
01003,Sydney Harbour Tunnel,Sydney,NORTH,UNCLASSIFIED,2008,ALL DAYS,44044
01003,Sydney Harbour Tunnel,Sydney,SOUTH,UNCLASSIFIED,2008,ALL DAYS,39252
01003,Sydney Harbour Tunnel,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2008,ALL DAYS,83296
01003,Sydney Harbour Tunnel,Sydney,NORTH,UNCLASSIFIED,2009,ALL DAYS,44378
01003,Sydney Harbour Tunnel,Sydney,SOUTH,UNCLASSIFIED,2009,ALL DAYS,41025
01003,Sydney Harbour Tunnel,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2009,ALL DAYS,85403
01003,Sydney Harbour Tunnel,Sydney,NORTH,UNCLASSIFIED,2010,ALL DAYS,45570
01003,Sydney Harbour Tunnel,Sydney,SOUTH,UNCLASSIFIED,2010,ALL DAYS,42300
01003,Sydney Harbour Tunnel,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2010,ALL DAYS,87870
01003,Sydney Harbour Tunnel,Sydney,NORTH,UNCLASSIFIED,2011,ALL DAYS,45791
01003,Sydney Harbour Tunnel,Sydney,SOUTH,UNCLASSIFIED,2011,ALL DAYS,42164
01003,Sydney Harbour Tunnel,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2011,ALL DAYS,87955
01003,Sydney Harbour Tunnel,Sydney,NORTH,UNCLASSIFIED,2012,ALL DAYS,45783
01003,Sydney Harbour Tunnel,Sydney,SOUTH,UNCLASSIFIED,2012,ALL DAYS,42345
01003,Sydney Harbour Tunnel,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2012,ALL DAYS,88128
01003,Sydney Harbour Tunnel,Sydney,NORTH,UNCLASSIFIED,2013,ALL DAYS,46287
01003,Sydney Harbour Tunnel,Sydney,SOUTH,UNCLASSIFIED,2013,ALL DAYS,42444
01003,Sydney Harbour Tunnel,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2013,ALL DAYS,88731
01003,Sydney Harbour Tunnel,Sydney,NORTH,UNCLASSIFIED,2014,ALL DAYS,46237
01003,Sydney Harbour Tunnel,Sydney,SOUTH,UNCLASSIFIED,2014,ALL DAYS,41900
01003,Sydney Harbour Tunnel,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2014,ALL DAYS,88137
01003,Sydney Harbour Tunnel,Sydney,NORTH,UNCLASSIFIED,2015,ALL DAYS,47107
01003,Sydney Harbour Tunnel,Sydney,SOUTH,UNCLASSIFIED,2015,ALL DAYS,42273
01003,Sydney Harbour Tunnel,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2015,ALL DAYS,89380
01003,Sydney Harbour Tunnel,Sydney,NORTH,UNCLASSIFIED,2016,ALL DAYS,47697
01003,Sydney Harbour Tunnel,Sydney,SOUTH,UNCLASSIFIED,2016,ALL DAYS,42181
01003,Sydney Harbour Tunnel,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2016,ALL DAYS,89878
01003,Sydney Harbour Tunnel,Sydney,NORTH,UNCLASSIFIED,2017,ALL DAYS,47268
01003,Sydney Harbour Tunnel,Sydney,SOUTH,UNCLASSIFIED,2017,ALL DAYS,41895
01003,Sydney Harbour Tunnel,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2017,ALL DAYS,89163
