,year,date,direction,public,school,hour,month,day,dayweek,timestamp,value
0,2015,2015-11-13 00:00:00,Northbound,0,0,0,11,13,4,2015111300,661.0
1,2015,2015-11-13 01:00:00,Northbound,0,0,1,11,13,4,2015111301,280.0
2,2015,2015-11-13 02:00:00,Northbound,0,0,2,11,13,4,2015111302,156.0
3,2015,2015-11-13 03:00:00,Northbound,0,0,3,11,13,4,2015111303,178.0
4,2015,2015-11-13 04:00:00,Northbound,0,0,4,11,13,4,2015111304,507.0
5,2015,2015-11-13 05:00:00,Northbound,0,0,5,11,13,4,2015111305,2097.0
6,2015,2015-11-13 06:00:00,Northbound,0,0,6,11,13,4,2015111306,6197.0
7,2015,2015-11-13 07:00:00,Northbound,0,0,7,11,13,4,2015111307,8356.0
8,2015,2015-11-13 08:00:00,Northbound,0,0,8,11,13,4,2015111308,7447.0
9,2015,2015-11-13 09:00:00,Northbound,0,0,9,11,13,4,2015111309,6774.0
10,2015,2015-11-13 10:00:00,Northbound,0,0,10,11,13,4,2015111310,6253.0
11,2015,2015-11-13 11:00:00,Northbound,0,0,11,11,13,4,2015111311,6538.0
12,2015,2015-11-13 12:00:00,Northbound,0,0,12,11,13,4,2015111312,7311.0
13,2015,2015-11-13 13:00:00,Northbound,0,0,13,11,13,4,2015111313,7193.0
14,2015,2015-11-13 14:00:00,Northbound,0,0,14,11,13,4,2015111314,8112.0
15,2015,2015-11-13 15:00:00,Northbound,0,0,15,11,13,4,2015111315,8358.0
16,2015,2015-11-13 16:00:00,Northbound,0,0,16,11,13,4,2015111316,7202.0
17,2015,2015-11-13 17:00:00,Northbound,0,0,17,11,13,4,2015111317,7071.0
18,2015,2015-11-13 18:00:00,Northbound,0,0,18,11,13,4,2015111318,6473.0
19,2015,2015-11-13 19:00:00,Northbound,0,0,19,11,13,4,2015111319,6665.0
20,2015,2015-11-13 20:00:00,Northbound,0,0,20,11,13,4,2015111320,4536.0
21,2015,2015-11-13 21:00:00,Northbound,0,0,21,11,13,4,2015111321,3871.0
22,2015,2015-11-13 22:00:00,Northbound,0,0,22,11,13,4,2015111322,4486.0
23,2015,2015-11-13 23:00:00,Northbound,0,0,23,11,13,4,2015111323,3548.0
24,2015,2015-11-14 00:00:00,Northbound,0,0,0,11,14,5,2015111400,1869.0
25,2015,2015-11-14 01:00:00,Northbound,0,0,1,11,14,5,2015111401,1091.0
26,2015,2015-11-14 02:00:00,Northbound,0,0,2,11,14,5,2015111402,788.0
27,2015,2015-11-14 03:00:00,Northbound,0,0,3,11,14,5,2015111403,565.0
28,2015,2015-11-14 04:00:00,Northbound,0,0,4,11,14,5,2015111404,528.0
29,2015,2015-11-14 05:00:00,Northbound,0,0,5,11,14,5,2015111405,1190.0
